state,crop_type,R2,SM,T,P,R
DE1,C0000,0.09683305821606525,0.15128774361751005,0.32725398485110396,0.28248004454102826,0.23897822699035778
DE1,C1100,-0.4390243902439024,0.0,0.0,0.0,1.0
DE1,R1000,-0.7143413823104956,0.2939125159489456,0.11360326334760744,0.24700064722739923,0.3454835734760478
DE1,R2000,0.13266111508363065,0.26312182090261627,0.25934568786347095,0.2807860098976211,0.19674648133629186
DE2,C0000,0.33186743684413755,0.3416239687200668,0.1219961626884031,0.34622875690349797,0.19015111168803223
DE2,C1100,-0.4390243902439024,0.0,0.0,0.025974025974025972,0.9740259740259741
DE2,R1000,-0.4173222182564724,0.2540022062115251,0.3819825163495148,0.17247275578839513,0.19154252165056498
DE2,R2000,0.12184673662391587,0.13464479802769844,0.44135545060704257,0.2992947461584737,0.12470500520678537
DE3,C0000,-0.13392312934459794,0.0,0.0,0.0,0.0
DE3,C1100,-0.4390243902439024,0.0,0.0,0.0,0.0
DE3,R1000,1.0,0.0,0.0,0.0,0.0
DE3,R2000,1.0,0.0,0.0,0.0,0.0
DE4,C0000,-0.43185249977949414,0.25498606356807824,0.38289019866751006,0.16063089207710163,0.20149284568731018
DE4,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DE4,R1000,-0.3326778973870954,0.10156883394206208,0.6096580574861811,0.07528954325799435,0.21348356531376259
DE4,R2000,0.17264244459453792,0.1444905612094676,0.41256979973139346,0.16891260654820292,0.2740270325109361
DE5,C0000,-0.14794458143451217,0.0,0.0,0.0,0.0
DE5,C1100,-0.4390243902439024,0.0,0.0,0.0,0.0
DE5,R1000,1.0,0.0,0.0,0.0,0.0
DE5,R2000,1.0,0.0,0.0,0.0,0.0
DE6,C0000,-0.2280773286340798,0.0,0.0,0.0,0.0
DE6,C1100,-0.4390243902439024,0.0,0.0,0.0,0.0
DE6,R1000,-0.16725854275717733,0.0,0.0,0.0,0.0
DE6,R2000,-0.11513080688563448,0.0,0.0,0.0,0.0
DE7,C0000,-0.13964989333954225,0.1680681530884434,0.1851389818308939,0.26480249427036096,0.38199037081030185
DE7,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DE7,R1000,-0.7820796153107084,0.20876400433391937,0.3933694527584345,0.15962034905739073,0.2382461938502554
DE7,R2000,0.29224857541596405,0.41068277084831134,0.27565394899196644,0.1643521609530558,0.14931111920666643
DE8,C0000,-0.5165845927733586,0.22270161398821023,0.32753747632866226,0.24185583625652343,0.20790507342660414
DE8,C1100,-0.4390243902439024,0.13636363636363635,0.25,0.01948051948051948,0.5941558441558441
DE8,R1000,-0.3787940165611323,0.10993547082384757,0.6894255272100253,0.0998573626583833,0.10078163930774389
DE8,R2000,-0.2511565804659732,0.17800534014410915,0.22114221977963994,0.1458861002310878,0.4549663398451632
DE9,C0000,-0.41750007892286933,0.22287389524139287,0.23093902035191466,0.3192146467916201,0.22697243761507235
DE9,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DE9,R1000,-0.5173622089847743,0.14788882511347556,0.5531736290452347,0.15662357536835148,0.14231397047293828
DE9,R2000,-0.09557528311823082,0.20207306696261323,0.2589910212084446,0.31740116524319306,0.22153474658574915
DEA,C0000,-0.018343237279822455,0.17598936371681834,0.3388266944423811,0.3090018475454892,0.17618209429531134
DEA,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DEA,R1000,-0.08097475008705723,0.20345042911855235,0.38021975317745904,0.21595935327684768,0.2003704644271408
DEA,R2000,0.04355325042001845,0.39466407809264586,0.27636164737059093,0.13327474619972127,0.19569952833704196
DEB,C0000,-0.2978300066891246,0.13471138168360303,0.30679928312338994,0.28032657064417327,0.27816276454883393
DEB,C1100,-0.4390243902439024,0.0,0.3333333333333333,0.0,0.6666666666666666
DEB,R1000,-0.37263536989272716,0.25860694003640966,0.2884600296679529,0.1675593152824488,0.28537371501318864
DEB,R2000,-0.31990426582596254,0.2577252707106422,0.17679123021679535,0.3508062841466619,0.21467721492590058
