lat,lon,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
55.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,8.25,8487.939576691535,4977.531668803985,4308.695271331943,9959.763351836842,10069.107497936078,8337.983949462008,7746.435631587757,3808.6590634713625,8110.001529165966,7090.034934001625,6262.37698894446,4325.251445610498,3414.3288289629763,7820.824708730003,8564.41406447174,4482.624882945017,7037.837671644173,4588.209446138424,18733.65839328594,19175.545665165428,15526.961750796954,12510.055662531917,13327.918260684164,10601.578652067317
55.25,8.75,5915.342818652645,2442.52333902466,1561.08339697672,5994.76516938933,3974.7402493639097,5197.118176877964,5667.888647327187,1746.012137694268,6032.31072090576,4551.045304294464,4661.549531569123,2899.294801758059,1597.4563911277867,5423.296727188836,4954.784862528716,2456.9183070773784,3031.396344528657,1642.8755605630972,16796.94156617578,15736.606813578343,10177.765236185658,5657.912857047515,7328.491115582669,5226.187848314976
55.25,9.25,5194.6629698558645,2034.2101390692956,1385.492130736458,5145.883059996034,3735.0703831990904,4783.158387803926,5308.117833697724,1838.3620560979282,6088.40687074868,4743.888868582682,3949.1206201395617,2147.693861146559,1560.234444171249,4994.429320891895,4519.200326270886,2133.082657353818,2301.970219944498,1372.1656928544726,19574.099902239832,19305.18501606354,13924.987852343636,11511.113837157549,7005.59484827916,5097.633765566031
55.25,9.75,7257.968819243546,4656.239442547191,4027.102481671542,8462.444773162893,7912.444913046958,7259.226208543478,8124.487952508743,5288.994743146082,8843.545063059406,9853.9049549361,7392.295684570971,2961.8472416915997,3412.2772205691995,6480.515137534379,8186.696375009169,5463.76729791334,3802.468396659291,2655.228092056166,26784.46921712573,29583.071869247124,28639.61165832657,27354.99111288507,26208.36625854327,26951.39841787738
55.25,10.25,9497.88290804116,7241.537615739139,7444.611255613659,13600.477077318836,13422.13176118234,13833.20488504634,18317.852799462897,15842.822904107008,15578.30391286067,20894.989793526685,19133.847185730025,15962.345904447864,10935.853411988246,10797.996506526819,16429.995256007773,15322.464092456037,13798.822417781816,11997.494216150018,31640.131291063626,37432.194398872416,38918.45215257474,38808.79165420848,43667.395267338354,49158.10564327607
55.25,10.75,11114.111482348568,10661.120581360508,11957.30981508537,22361.711118550615,22516.80944014038,25211.269920237806,31656.501757904633,29060.58263289717,33038.42699824593,40683.04194569465,41040.82198923969,37905.51509433993,38171.554262847494,40685.83997477419,51285.23268352969,52992.92186507954,56293.16728502469,54712.1826404051,78786.43355142105,87468.1990484308,90898.01793519825,93133.07715657583,101951.41488416398,112184.49056852673
55.25,11.25,11247.594229678389,11084.517079742162,10556.54682118032,19365.78511942137,19606.222218433617,22333.653893365,29755.884645987182,27221.406767523054,31526.519347592497,39062.46154702796,39740.79085267525,36537.73411183107,38421.06754155788,42005.57885672859,53592.313374533376,55627.29106002863,61707.23068179199,60491.41472652386,83294.68881322023,93281.60943605796,97659.80783880809,100418.03722055379,108992.88499346543,119111.25702185124
55.25,11.75,8990.706077988845,7268.422180221183,6352.3633899433,12290.26395186654,11822.969223574371,14373.704012968243,22971.99672964091,20832.04876522318,22999.408359489527,28172.238633165645,26812.33750497315,23307.535714124897,21808.796151923936,24609.999521526202,32452.11687844656,32575.89161566722,37809.79750394439,36652.21826207769,57411.06825862572,68148.98225584364,71898.10134595358,73211.23243738578,78290.41084798353,85615.82439971143
55.25,12.25,9705.797260995152,9742.013698325129,10221.44085726955,16302.17367787111,16662.07470671272,23872.764932913815,36243.91811209797,34519.39240419681,38306.79176469778,44636.49803413274,43450.60383622493,39716.2599173323,40059.88163485054,45933.01424932383,54108.883805825506,55522.52771055746,63266.53371530375,61936.83489178009,88326.45591760421,102730.64684837179,109426.7526936649,114588.55945949932,122420.03640760451,132414.43260564725
55.25,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,13.25,12360.18326099753,14644.278034365941,18589.440241306776,27219.116581507482,29899.200060195883,39684.77334059399,51634.05678428434,49888.96707682314,54510.86059694382,59653.9249658051,59710.619924898645,56432.12779519164,57963.030977389855,66491.71622355172,74516.87132558542,81680.01869331225,93244.66566738169,92478.59113471178,118905.86746462353,133191.48366839465,142303.15423478643,151374.07019366723,163660.09525640224,173055.7162231303
55.25,13.75,13870.332680042611,16673.44403425243,22818.45116294363,33899.46027978894,38799.30106254416,49957.22979639379,61583.56067308855,59667.62688196476,66760.40327690319,73955.12025401807,75894.39868865832,72921.64894056773,76150.05781115155,86220.54856681165,95944.80418469745,105268.60489857345,119329.20968547699,119408.93004667715,146155.30343023295,161229.16219259342,171725.1074427917,181713.45004065463,196921.93176183046,207506.2599248573
55.25,14.25,17337.588772609946,21360.680286960363,28097.687251974716,42450.415231875086,50358.13500028203,64369.57152891097,76277.44914752105,75141.62018083378,86179.76633795988,98386.89956581302,102929.21188408202,100621.98523758336,107207.28746990724,119312.5062478703,131696.03131240766,144384.62772200519,160513.40812258338,161325.05064587356,189358.78387625213,206246.54001829313,221360.64060983033,236349.35059937957,254893.85496089392,267670.04978629603
55.25,14.75,24176.45290546387,30630.28433297009,38097.36029146721,56754.45301523472,68628.01938618289,89642.64642791646,103917.83033202372,105768.11234965819,120809.34403692301,138558.21573780937,145513.14191338076,144826.47505675777,155606.9804980522,170825.13135413107,187511.07622785424,205476.36836253203,224538.8497744143,228756.9615483678,261640.1182414193,283016.3358787906,305814.40768252715,326576.39313833846,350181.92415050295,366810.21652063396
55.25,15.25,23387.434459461732,28304.48560104612,33803.746675681876,50696.30659428488,62161.35486701718,82657.4062139389,96363.3681386055,98566.58686917939,113189.01406373267,130362.07145025732,134967.48465351373,135210.36274971868,146339.94503301076,160712.77566280667,178531.44645663718,196692.39449206018,213974.3552646221,217421.67100761386,249075.0606919482,271831.0097450552,294960.5872333509,316597.0326520145,336977.0556850221,351937.7256455634
54.75,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,8.25,10432.809887343918,7098.489183003482,3941.3550010415374,13040.574054148976,13819.962328666657,11156.952245851082,12676.256939595492,9010.36282891068,7987.423540910223,7781.955628560682,5798.513514164143,5091.73210255576,3336.198884745939,6851.56811823108,8435.512722896152,4589.418718900368,7080.270492854908,4634.716956598737,23529.11882006703,26892.99158730324,26318.199238990026,23127.026702914445,27234.692053366296,25433.083289781673
54.75,8.75,7420.512148235367,4154.5403975509025,1157.3681574159925,8356.504238456815,6722.1380377263495,5133.987053930301,8285.207810441647,4683.726004907465,6264.351455245176,5279.128424518463,4843.876770416847,3662.565978278462,1694.3027312247164,4427.80549691246,5672.010589665285,3129.2868635692494,3791.172031832736,2170.308722518672,20162.28021209221,20561.209994323453,17616.881737588737,14334.03379182807,11214.444130788548,8753.25732259404
54.75,9.25,6241.556968014188,3449.7574368410774,922.0794267390681,7248.86567568976,6315.480466801743,5514.516428762453,7015.1989702939145,3934.7352420210805,6132.460055488165,5987.843691985318,4345.893784644821,2504.9283121034496,1695.1504668521204,3700.878821245935,5352.135558587508,2776.8618920260847,3769.309654036603,1856.4344188059042,25332.76773463434,27120.724574899283,24783.077762436897,23008.967255758926,19029.552259089884,17282.009434989202
54.75,9.75,6731.4883908887305,4080.7668420008386,1873.5209634259509,9914.311978679114,9384.380098271477,7019.637664118856,9540.796354219372,6844.5380228681925,8653.724765440242,8898.973367695782,6277.1983365711,2953.580482309406,3146.6217125483677,4414.923205405237,7032.43272524756,4673.267092176898,4517.582529791336,2429.60888384361,29061.015152815915,32879.91545342624,32052.89429595467,30542.553068550373,29970.12703237543,30007.581548049966
54.75,10.25,8096.487430908489,5734.951101468922,4552.77978387491,14366.984719483085,13887.968818951906,13444.708412263884,18791.144948296154,16239.036851099881,15267.273137362825,20548.81479481612,19501.556327307037,15706.408134487963,10764.7888305792,9065.612133009437,13473.012555818977,14887.965214193999,14264.615957400074,12263.847825484701,32593.69252951021,38956.62878035656,40522.917492780995,40042.25786088973,46804.32175170586,50903.13240631446
54.75,10.75,10673.78035217658,10660.779837183898,8231.969348446846,20339.993619826397,20008.39553861852,22889.25647160215,30990.820925108797,28443.997579284667,31387.345549595568,39629.293779360254,40960.10595559525,37386.3963276692,37646.90148820416,40339.29051570618,49813.51457611141,53974.72546924986,59243.04352184974,57505.55037890742,83827.99828658084,93767.63840367466,97095.65225837003,100180.79820673724,110936.45520883727,120706.7867575922
54.75,11.25,12033.973879498582,12088.603957242014,10169.018772822641,22538.417362465505,22287.61885387793,26698.725073203386,35986.12572349205,33640.75462628868,37725.03583869355,45836.146651179035,47322.84986499226,43762.691067106985,45452.98645894618,49702.8907000467,60603.609564456325,63880.68905585866,72257.74345575096,70856.76164618955,97179.41387814138,109841.24874506723,113172.73170455593,117288.62620205333,130082.17806170722,141302.21646457215
54.75,11.75,13238.288580192031,14181.58065307376,13585.312206218367,25484.49834865111,26819.723736593667,34305.95441685297,47643.87552108747,45987.59399541769,52271.66400354111,62198.81157301015,64184.17345327398,60669.73824992233,63814.67268886778,70443.7180892481,82376.37555249617,86429.62806749679,98273.61879720679,97298.36823948886,127178.88012285496,143170.92832326438,149293.25519959687,156386.89615049664,169758.97992632582,183585.29931123
54.75,12.25,13500.341788810225,15808.693804265802,17935.149188444688,29661.630818263508,33460.082478707,43819.306918508686,61022.451775873626,60090.175947071875,67486.12091584604,78348.27739153986,80537.65257285711,77165.98007355798,80882.6999648508,90294.20858059754,102137.88569674655,108242.3629403268,121895.90381244653,121196.38199474956,154902.0225988384,174496.37527731972,184750.57593113056,195074.18042892497,209063.26158677437,224512.16227144704
54.75,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,13.25,17016.6356381659,22714.2799740118,29219.294130755083,43148.34738470056,50426.84322926063,63129.924280191226,80582.09198350909,79151.40889804403,89977.38033020796,99870.59139510956,102191.94562829744,98744.81855404623,104149.96818131169,117240.00560049896,129641.42024661048,140040.5987919793,156534.58949951958,157456.38302272413,193100.19298702324,211337.54503068433,222471.79643790275,234528.43022562517,250611.07171857136,265558.4747255249
54.75,13.75,20803.584798186064,28052.31826443625,35866.19546755333,53573.20884164768,63913.425870206804,80553.23236248168,97665.64327430338,96055.41570082447,109636.98689572401,121305.66646108004,124614.98995471417,121752.2790966628,128317.92720171131,142026.83555182733,156086.8489809169,167983.87811857095,186577.87942115444,188086.16244273944,221795.58130932448,240168.98428991667,251763.94028373683,265382.7209589717,284404.38739144756,298813.79904347204
54.75,14.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,14.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,15.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,8.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
