lat,lon,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
55.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,8.25,10197.96420782572,8229.392260354647,5877.929070591379,11652.50971480732,14949.625040233333,17098.23193546702,19693.202501600586,16635.122612710697,18156.62612375153,18727.1134752562,19062.407605091354,16972.833527033177,13049.369338476832,14015.987956652538,17215.640167614714,14751.210489200097,15600.747900264603,13752.260418729773,25418.24159745872,29000.889454493605,29127.134297109285,29719.467559465764,34349.15331572857,34980.01831406787
55.25,8.75,7566.214730099768,4854.454438852366,3108.9726153757633,7569.613549574174,6782.09549002831,6758.556022585065,7027.502269602896,3989.856999009526,7140.460696853535,5935.921219561941,5812.808062899469,3969.596406306218,2805.66832112371,6783.054943059192,6221.465528453269,3388.846912386086,4675.281080956327,2745.652020778179,18828.570705504604,19904.333785624458,17936.307697165026,15331.823920234558,16264.743048275406,16029.402746312195
55.25,9.25,6858.908190287153,4437.904176085176,2946.091705904798,6857.87769309532,5914.734646994557,6343.118268288958,6736.47273527043,4108.332781223569,7280.749459957469,6502.996731066535,5071.205029008049,3212.2507464659243,2782.604591093147,6391.011345626208,5901.034939911825,3106.729301865946,3911.6908225958923,2378.9445351836757,21794.988600639062,23428.117783741884,22795.889571652795,21181.141630265767,21230.37966635177,21415.306404284467
55.25,9.75,9000.880759170237,7069.794255077549,5653.976719787392,10409.916406112716,10691.82025126998,12330.374266665576,16666.2825329859,14531.540248306464,16204.428864125966,21067.424042747745,20570.90558044637,18042.912710371398,14978.268544647879,15624.858804259813,19500.33987151838,18076.336015847122,16576.744175893986,15051.816818024656,35602.50404319108,41124.85983709191,44279.50843572631,44093.20852825807,49084.64692254065,53216.93936688143
55.25,10.25,11284.053198528707,11603.25785597726,13948.389378606102,23831.985050607556,25883.79278059766,31127.01445568743,38961.27352288971,37152.562248728296,43552.937028135966,52655.99801827209,54253.35955015409,52942.7658785374,53333.54820871665,57069.11680729519,66439.87707736701,68723.09257266956,71067.43815105481,71042.42724278712,96769.87063568526,105391.93374349427,110922.95024375585,114162.39697984316,123051.76311166298,131823.65580327716
55.25,10.75,12917.208435776069,15767.720192279148,21043.293890964484,35646.393447215065,38784.05760280943,45513.312910213914,55352.89857559206,53400.84575620366,64151.36026421662,75479.4369294778,79255.0680031822,78722.18380405456,83782.74337096325,90028.36635014745,104464.60986778501,109546.56131028531,116635.278421266,117571.77786864387,146946.69667472754,158484.1168915084,165890.1657661816,171528.08614547816,184466.04200983804,197965.04900441002
55.25,11.25,13056.224067414909,16213.697272178317,19617.544818338567,32624.172864354336,35880.41034405962,42643.789903952915,53480.41811053375,51569.96723907439,62655.184348903815,73869.92572595508,77960.60363125903,76522.23500147574,84112.5461070893,91357.16069018061,106790.4505216894,112144.66909516614,122110.18496292408,122846.19309295734,151463.24928477177,164321.07496173342,172662.9122902495,178823.78133233532,191561.96317504378,204903.83516568944
55.25,11.75,10789.983849120088,12393.128208066022,13987.00395396013,22184.700138400967,24016.729130204425,31573.084187313612,43476.08828177258,41892.06948815228,50843.765127848,59694.964722453195,61574.456007908055,58977.556437053914,64196.07127717182,70681.2201716679,82269.62444904831,85732.96052318522,94927.14724415747,94600.32144286782,122291.08898155468,135921.67326180974,143625.92652132738,148327.7479550851,157521.8930910977,168113.1630342602
55.25,12.25,11518.60006237246,14938.209594075526,19305.422146950383,29510.567344759234,32970.83157913328,44477.423647260606,60136.37445913205,58899.58238291326,69484.59902049685,79479.99684089822,81424.11313896267,78747.3213845719,85786.06223794041,95399.79116800817,107120.23294246102,112189.84081834288,123691.89125881487,123871.58980159169,156526.64589632108,173937.47075212747,184441.45434075862,193050.74217265655,204985.25642674416,218254.6225843639
55.25,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,13.25,14293.340307819617,20119.796161477738,27784.380683414205,40437.45617270507,46213.579003212035,60370.537055024564,75529.35921768703,74413.90211420615,85619.88172762743,94510.68404507016,97939.11661177351,96373.10135650946,103685.62078501127,116078.78311898689,127494.19816045914,138502.43191554787,153722.45045148904,156013.52971263605,187110.24640764028,204454.068300037,217386.5104865628,229951.51237152528,246399.82571115968,258906.4060122771
55.25,13.75,15852.879893351013,22106.883276067532,32108.43250178055,47128.611003387865,55123.33480239349,70648.09083739597,85456.90917994785,85886.67424749139,97846.76666136544,108881.94433735333,114176.41945097028,113616.73992434825,121874.07491446812,135851.292872146,148960.2873252288,162110.9755173143,179866.05892285632,183025.0063043713,214360.173142036,232503.54562287708,246900.78612288932,260288.52057606823,279700.9877691625,293373.14862126147
55.25,14.25,19389.983108334975,26607.00946649325,37381.603933262326,55675.50420106992,66753.0366145675,85049.86044203976,100118.42939926157,102493.24622803788,117297.89499389415,133397.3191357134,141268.25922701624,141852.9059700145,153009.66287029887,168954.99998100588,184804.36668396427,201257.1466700748,220984.5512125309,225003.8376892192,257557.50768565928,277561.9296440442,296704.8950443211,314975.70857169904,337663.64584586764,353580.6329694268
55.25,14.75,26378.018966371663,35831.33696820138,47373.777158162324,70004.73895002957,85100.33360239654,110368.91190992239,127751.73541166197,133237.2082689048,151991.74792292906,173694.82731570484,183921.40542875012,186388.64188253827,201527.14257585327,220505.03116308918,240731.21246539708,262475.8522416685,285032.032538658,292594.0517694918,329848.94395375205,354491.61206710205,381269.00773600215,405390.0413424505,432979.0102393721,452796.7933647361
55.25,15.25,25499.680428956955,33367.981591589036,43032.29444086272,63917.77708892052,78591.4420075472,103380.55325699496,120180.76144765885,126041.39026908587,144355.26201792082,165487.35672153925,173286.83171095658,177071.47706682936,192149.4406258011,210352.67043873615,231894.26602567107,253741.80008281866,274431.3176616217,281203.05977652036,317283.56573551625,343372.34583447844,370434.0846344338,395428.42870827205,419716.2583225091,437893.23180499586
54.75,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,8.25,12205.995628060207,11317.236987328768,8641.949531079505,16709.65625537015,20556.231680370438,21888.6814652904,26964.905464046613,24871.154079368294,26820.221002715065,27953.3134165155,27951.399961002026,26359.266439328327,22413.332676091275,22473.927012397075,25657.4972765552,24108.867205568484,25254.471519120696,24864.87136753902,41523.76365631435,47875.197450825624,51067.76679444565,51456.896282354544,59523.96618595737,60985.69914383614
54.75,8.75,9163.433924781511,6594.895450402512,2695.0818545327934,10028.620986601767,10104.379398944302,8613.109156342669,11676.43839558397,8897.331354154541,7301.732311037607,6870.685579591002,6004.263821861015,4742.091415886858,2903.2666238167544,5741.033366694671,7103.905137906981,4202.314777589458,5505.368174839888,3730.034935526029,22268.298741886672,25617.885971595602,26460.903047919513,24017.277233835328,27576.203637657574,27643.634915615865
54.75,9.25,7981.109869895395,5873.603666580483,2312.2906763807373,9022.71137242605,8484.956106182497,7419.5291335369975,10092.584821842345,7722.309635833911,7398.414616982863,7845.506129047593,6568.9143502290735,3579.2111196479636,2928.06065751715,5049.896693468423,6785.882077494583,4374.376988695903,5538.250130880995,4221.207491691037,27689.261628940447,32197.93354317403,33830.118865057106,32685.461150065057,35439.98746629506,36766.21797774224
54.75,9.75,8476.882961926476,6514.689698752541,3426.6526272981014,11868.235079798711,11784.679033933193,13177.460212875038,19060.604121938344,17059.05498155578,18381.717262357324,22395.642828351007,22322.94584437643,19560.754635476154,16056.998561528737,14446.9591175217,16799.34463202362,16776.588590986354,16224.637948140817,14792.00169728647,36816.59898281684,43422.94492579732,46570.48188074118,45982.20525162501,51872.178450413965,55203.7776682644
54.75,10.25,9862.124485313727,10405.28985821768,9075.126271230849,18931.45902603359,19946.07117174249,25056.261412454605,33861.59788724045,31964.125922548417,37501.47859216281,46686.567981621265,48832.55896601747,47329.65123685749,47551.78071562546,49697.33213134095,57850.335019407576,62758.25768863512,65929.06674523414,65409.31121123289,92138.78160095883,101336.84024048556,106798.22115747911,109777.44443387198,120632.76701117867,127968.51609232966
54.75,10.75,12475.300229157994,15720.4530212077,17215.827587401396,33213.05414134646,35357.20574157513,42815.504721239864,54365.69070875494,52701.40603412386,61977.182118321936,74073.00082934674,78736.72487479258,77695.69220966572,82925.16486832213,89312.08296662473,102604.38428084119,110275.13380584399,119229.4513513912,119783.9854578657,151649.80787605335,164474.302679197,171616.6004417121,178235.6535287371,193138.9986205716,206086.7300149627
54.75,11.25,13872.530299125208,17151.465460716932,19185.979917687902,35772.9848917648,38449.55264096964,47048.85573291723,59753.139187358574,58019.58179091305,68728.33974199006,80648.2840630585,85465.64966380567,83718.69793842324,91138.83937727711,99042.86712026801,113763.422251802,120468.50529358583,132654.173036637,133403.12527223065,165356.2856982761,180934.08204354675,188044.4430786707,195705.49802218797,212749.87138047154,227096.1082548021
54.75,11.75,15142.166788405013,19310.931757566494,22637.952861606456,38706.671856054505,43118.7075903094,54832.83903305841,71546.76476877996,70843.04171717542,83410.39011278839,97061.1878379403,102363.5558896347,100593.1140472568,109541.6967387716,119848.0980764203,135542.66199694652,143067.46368656165,158750.2905603972,160015.59541658664,195375.83424904136,214409.04838728264,224319.46669564478,234894.9518867467,252461.47931364123,269446.80484768335
54.75,12.25,15456.06621286483,21028.8562993489,27036.280229140815,42897.50949241597,49779.94952281668,64444.23623340158,85034.68672905104,85010.69120506315,98706.44567463695,113264.80619969011,118767.66838895518,116866.39888512966,126695.20924383154,139884.46099819182,155288.1056340091,164953.94132878425,182469.4646293514,184677.7593426358,223108.76012629937,245783.1489362923,259915.44100007223,273737.2861602795,291774.3925798358,310476.29397802474
54.75,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,13.25,19099.981589979216,28139.151106597008,38379.53408733408,56401.61820750407,66784.66591172403,83784.61812946109,104554.74320005496,104768.86284201774,121209.71204189451,134754.24153557318,140429.60250287908,139268.3958368899,149922.2933931358,166939.2724055255,182791.82075731058,196864.36837683586,217101.56358906475,221136.23626920645,261328.77080839316,282627.01297908364,297542.412638744,313149.5655041955,333328.91724643274,351504.6671264738
54.75,13.75,23037.876033659788,33436.79990373937,45078.636037157594,66865.33437435183,80340.25630842824,101267.52461043229,121582.47440805718,123190.20893504465,140882.38831682113,156241.12412125993,162897.60459190884,162977.81394991427,174098.4406503184,191719.63159789462,209307.8411408993,224822.54669036876,247214.18341808688,251775.77041568625,290021.1161625758,311456.8772935534,326866.6767343264,344004.9929879374,367188.95131669275,384742.36067766463
54.75,14.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,14.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,15.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,8.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
