lat,lon,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
55.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,8.25,11985.48491147811,13283.126034794368,14933.414640931493,23612.898407237695,30055.694191090584,36231.18353080059,42260.20817600204,42202.6178980895,47678.98964733484,52198.601988928676,55986.8005540974,57413.63465318409,57341.42753809839,62219.10406889303,68980.6039682457,69911.60470306278,74942.81323453118,76154.41432558226,92277.75533959885,98905.40581026675,102818.34982498406,107105.05264696547,115477.83905980807,119503.19790801787
55.25,8.75,9328.000697735495,7858.5963056963155,6635.5710390756785,11283.14051838413,13604.668007612427,16121.518332403084,19802.575651247564,17628.367518265517,20617.574103449675,22268.674853089047,24217.110519657675,23900.480218974997,21781.32776795899,24108.5300227972,26988.173263187506,26172.388332261075,26985.410189197322,26404.137240724584,40852.40481708338,44899.3622507742,46799.097862087925,46991.14537531455,52489.85641635357,55624.39533394128
55.25,9.25,8619.441767711689,6882.420145189957,5614.890121349133,9781.821225149675,10993.439353149184,13392.559281968252,17307.503828475055,15403.037152004572,18566.39935797188,21631.425441140185,22964.374547342995,22276.571872281063,20529.346871878828,22825.732658997505,25695.885643434816,24926.46566823346,25212.99166580641,24595.928598545634,42399.926127889055,46841.705733454386,50186.27181098262,50406.45097984253,55934.07549688962,59491.98719036042
55.25,9.75,10819.009963577902,11317.330056011097,13446.519972108043,21751.47688311744,25033.399917286235,30753.98692749426,38472.330167278014,37516.11712137002,45263.2031555497,53955.3003604874,56833.58623351423,57463.14759228859,58474.676695998176,63037.07801194367,70476.38831942544,72542.58271732312,75015.11238876969,76293.34748704279,101908.88150184359,110253.7027595605,117503.71078495769,120567.16530907348,129567.37848487795,137025.2138092912
55.25,10.25,13177.297408800334,16745.155730506198,23078.43336366368,37181.95890213127,42190.9227149504,51615.280396070106,62728.564849458286,63315.29423755414,74701.04581247941,87503.2224460015,92512.09487417465,94277.22488658558,98849.34549803703,106457.41164512654,119636.3553477993,125386.51774499139,131462.84886697357,134459.23419436242,164958.9832632345,176437.68035440636,186114.64978899434,192587.8419085591,205603.8991664148,217591.93240207332
55.25,10.75,14822.183620293885,20960.66817775284,30250.240744271417,49022.66847117886,55097.72171194912,65932.28546748415,79125.91315217061,80177.60841422057,95317.1162446535,110336.671719369,117541.58584188213,119977.2705531453,129488.68881889607,139448.33024202162,157795.6187711723,166229.7275071334,177068.3390389932,180998.2863550792,215142.38629012404,229570.5669507146,240988.36776159419,249985.62648763313,267130.7608633906,283801.1874805915
55.25,11.25,14960.413314178735,21464.91732160053,28750.195856088027,45970.35250863089,52194.253872898684,63073.464568223084,77291.5892754497,78306.55051186429,93834.37248114147,108743.13887233242,116247.98175340726,117725.20251384591,129915.57906488796,140782.81691635872,160133.32313585014,168832.43946574832,182627.55128578722,186254.63796130696,219666.21679714162,235424.64390850556,247772.62644675816,257285.20129271247,274246.7384229814,290747.8346915084
55.25,11.75,12669.719637135328,17686.83362508413,23096.700294974897,35458.024179769076,40344.34321054176,52191.76124357537,67361.1522626885,68002.30429379376,82061.36103855917,94592.9719383762,99838.39694949478,99989.91696661901,109978.87669740265,120130.76843096793,135499.87752692527,142415.08912011,155470.0830639263,158019.8881659484,190508.7030618921,207077.33290667724,218789.26304894194,226790.4343002769,240213.24271863577,253966.67684937885
55.25,12.25,13415.406370860348,20418.498111811838,28447.889312344738,42780.84472332524,49311.924637979755,65192.01620933869,84115.86353516878,85090.2767108833,100744.60157007656,114397.37004601618,119670.73720842246,119978.41444341821,131637.33290470295,145028.75815576696,160238.71492296807,168920.52939805662,184208.61203004076,187328.2107304839,224757.73895516715,245241.17244124424,259569.3994683746,271668.7680978099,287687.52813987323,304164.0938017973
55.25,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
55.25,13.25,16309.496351735263,25704.842900574648,37093.44982539778,53740.6963243383,62571.14772728934,81129.98625809487,99512.58486494995,101754.81827128003,116840.93277582688,129457.7128624904,136244.10607959065,137621.12849424218,149519.20098689396,165784.58676186262,180602.16146782774,195374.9629976432,214354.10150216025,219727.50042064604,255349.69561071045,275785.2886695237,292607.5710537392,308590.0809430642,329220.1175494484,344842.33069391164
55.25,13.75,17917.705483292175,27674.203422923496,41458.53456602999,60457.16877572259,71534.95919667301,91408.1929016454,109413.81283949755,113305.39568133878,129062.70648327711,143897.94339937452,152542.85492025717,154980.34704139168,167713.7452633283,185579.0495732461,202103.96257294255,219018.9778150341,240542.58114759304,246754.74267593978,282600.27520628547,303843.8438120584,322246.45509313117,338913.7406160599,362543.4784262213,379328.4178479009
55.25,14.25,21566.54054679586,32107.971591441496,46727.204595061376,69001.87620797861,83261.73020863278,105789.86614399153,124035.96659019141,129965.8604503282,148525.67040217796,168526.16854706398,179707.61676696697,183438.61170825735,198968.7296898872,218689.19184450555,237997.5100249091,258205.9782691735,281597.2449256751,288805.7232027067,325793.1083474581,348997.89122983767,372142.17263257125,393756.12755477236,420501.0081483974,439577.4733612127
55.25,14.75,28692.39954568518,41230.76084719006,56727.86331398685,83351.22588485612,101690.58743067559,131133.18002298055,151664.11861971504,160763.63083839527,183257.28750322488,208919.67053624216,222397.902189918,228263.98215063632,247530.68356781092,270266.4840103176,294096.2975970822,319563.7845406044,345654.7996689401,356492.5255601338,398093.2120668092,426081.907056885,456813.8563246761,484267.18910735054,515832.92324310663,538834.4826020946
55.25,15.25,27707.581320079527,38532.508354197504,52367.778386090984,77222.16362846213,95137.26945813469,124145.59385247804,144082.6969783337,153582.02710139914,175613.5628615629,200699.3810356509,211729.19673563456,219164.12165431833,238113.67742922707,260082.20704943736,285321.6345451288,310870.31475715735,334989.1633925233,345090.34227583365,385528.60633099795,415014.77101658186,445987.3084844517,474319.21040928387,502537.583052194,523920.2499610675
54.75,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,8.25,14044.527224361396,16380.304425664777,17715.13918020084,29740.01772612821,36636.87916408994,42005.068610705806,50641.51881768586,51995.005494567464,57332.27556438628,62463.05478900565,65879.70550531334,67757.89112720801,67705.36457217734,71679.49502657914,78462.76522435363,80292.29657571038,85613.45866158996,88280.32454811438,109497.96567884294,118821.54193542045,125836.99362960363,129814.29253971126,141794.6435679144,146568.9910657068
54.75,8.75,10978.308149540882,10475.385286881377,8874.906054766298,15996.657535344526,19095.01964001773,21642.63924178707,28311.296276683934,26976.548851693897,30264.261936730523,32771.57520962737,35023.82919570873,35335.64688570206,33414.17187580463,34750.06831621882,38501.463712433884,38835.907966106104,40752.00838237115,41055.0620477215,58960.090477316066,65255.592808718146,69985.38828629523,70543.4889751762,78545.57642130126,81933.5445283037
54.75,9.25,9805.999846043494,8700.4735816885,7010.430959686032,13397.493745092452,15212.74944864899,18796.354297478978,24989.704715267195,23386.19442709823,27701.563091627155,32050.929845533257,33995.7288856493,33761.01673368794,32422.475670641186,33480.36074947714,37214.34791030589,37837.59726286143,40319.77869549443,40193.30806976322,64034.51006764276,71333.04506236348,77007.81073010646,77901.89656245538,85909.53786654888,90553.16502609802
54.75,9.75,10310.77309562494,10782.30102714766,10421.364734897505,19890.05156450766,22689.204853480558,28220.499088836783,37571.60229097921,36784.80648062277,44002.87898122471,51934.96709704639,55183.60368627742,55553.0147045634,56212.794406639085,58483.058497897095,64453.02201545647,68000.15250034934,71360.79373913555,72031.96769842113,99802.3305323736,109238.67647535418,116425.82811697757,119086.69097684302,129099.66396626816,135660.26806809523
54.75,10.25,11706.6165610531,15504.106412034538,18115.307196837268,32188.923164451735,36222.4498998221,45398.77297474222,57640.38048511715,58349.67799421114,68455.50272886986,81517.37016835844,87048.00428301036,88534.06197746018,93057.36578533903,99029.93417060416,110998.12607202299,119441.15341885907,126301.74233422053,128842.07330084586,160341.58584886306,172405.33585875767,181848.8417935976,188203.90633605677,203193.45057341142,213701.3203402336
54.75,10.75,14368.063785717017,20859.41676259897,26268.069796329313,46522.52509763092,51668.93997648627,63183.63153278474,78167.14389928912,79892.80884708071,92997.54417022207,108920.22994323153,116991.6312045521,118899.09620940921,128637.78103117515,138702.23128812635,155866.80106662086,166976.5308039231,179655.13590010503,183243.8075852696,219853.211875797,235586.33548163992,246629.3221857313,256679.31841349753,275816.99656427384,291893.16735099955
54.75,11.25,15814.161018845945,22313.35514358894,28272.24900193208,49089.862577753396,54767.50861109062,67516.03299195215,83613.97139220743,85279.38846560092,99855.09248749158,115515.23760028982,123723.98915295365,124924.15609506032,136889.03978468303,148454.70183750443,167039.79758581542,177164.63959133817,193134.71021651104,196862.18418827353,233565.97519681684,252159.44833046914,263066.635187849,274179.4048628909,295522.46994393936,312942.2667581964
54.75,11.75,17135.435953134114,24537.20096581305,31756.417420849473,52017.66282492453,59455.630400875285,75438.93726471854,95526.86045338344,98178.5261074397,114619.71059820066,132003.1308413628,140640.27923386518,141807.4407785714,155383.2979705113,169314.66673214495,188797.765450947,199786.24139100703,219379.57466854595,223547.52180427162,263602.03825680644,285707.982118457,299447.2759377434,313526.00127690786,335260.72617960116,355398.75681891735
54.75,12.25,17512.056562134425,26521.57570128595,36200.55295085307,56225.604402482146,66162.94257494062,85161.30797286048,109176.52399327207,112378.59722972866,130000.06055377479,148271.87960278802,157064.8306775178,158096.40948181073,172666.35956467877,189585.16857431052,208523.82423864596,221753.19893719908,243181.4191601155,248363.49305783276,291347.6310840897,317172.64990768407,335237.5617195016,352551.77209517267,374584.58543174824,396496.88269315194
54.75,12.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,13.25,21306.99656985103,33700.164570507215,47661.61445981238,69746.38407655159,83225.54482151373,104530.94947224962,128594.63513658015,132061.45927109095,152522.6335969411,169729.97007188163,178752.72709781106,180533.02295709823,195835.78841795088,216717.910938735,236043.81049758254,253742.33248197142,277792.17288265517,284870.1260909501,329593.7430824285,353970.2012922503,372720.6718510856,391869.41798308445,416143.31765843625,437533.3035525856
54.75,13.75,25365.824464883244,38978.41055472348,54393.05264840155,80247.64867105828,96880.16307680779,122046.62776506369,145587.17018876763,150533.7937388631,172199.57414766573,191270.22417812323,201236.55211473297,204301.37630388816,220034.54480601393,241488.20642260442,262652.3898622305,281712.50528554304,307960.4113327418,315514.0467709868,358282.3008194818,382795.3859206739,402065.85988418345,422726.30766282004,450043.5429809876,470749.06070199114
54.75,14.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,14.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.75,15.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,4.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,5.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,6.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,7.75,0.0,,,,,,,,,,,,,,,,,,,,,,,
54.25,8.25,0.0,,,,,,,,,,,,,,,,,,,,,,,
