,NUTS_ID,crop_type,Water Stress Index,Pearson Correlation
0,DE1,C0000,260,
1,DE1,C0000,270,
2,DE1,C0000,280,
3,DE1,C0000,290,
4,DE1,C0000,300,
5,DE1,C0000,310,
6,DE1,C0000,320,
7,DE1,C0000,330,-0.2525030850515223
8,DE1,C0000,340,-0.25856527735359824
9,DE1,C0000,350,-0.3405378497315287
10,DE1,C0000,360,-0.4231519929772095
11,DE1,C0000,370,-0.46714973900236006
12,DE1,C0000,380,-0.3814004709982399
13,DE1,C0000,390,-0.14270683397228123
14,DE1,C1100,260,
15,DE1,C1100,270,
16,DE1,C1100,280,
17,DE1,C1100,290,
18,DE1,C1100,300,
19,DE1,C1100,310,
20,DE1,C1100,320,
21,DE1,C1100,330,-0.09663021769614816
22,DE1,C1100,340,-0.2457718966581412
23,DE1,C1100,350,-0.4038731139281051
24,DE1,C1100,360,-0.48121875152022264
25,DE1,C1100,370,-0.46225011649624437
26,DE1,C1100,380,-0.5896443561185678
27,DE1,C1100,390,-0.6906446434894835
28,DE1,R1000,260,
29,DE1,R1000,270,
30,DE1,R1000,280,
31,DE1,R1000,290,
32,DE1,R1000,300,
33,DE1,R1000,310,
34,DE1,R1000,320,
35,DE1,R1000,330,-0.3487169704244606
36,DE1,R1000,340,-0.43585628126352954
37,DE1,R1000,350,-0.3506311347723124
38,DE1,R1000,360,-0.36426856809025965
39,DE1,R1000,370,-0.3658110845097128
40,DE1,R1000,380,-0.3132657013991922
41,DE1,R1000,390,-0.16689273638333907
42,DE1,R2000,260,
43,DE1,R2000,270,
44,DE1,R2000,280,
45,DE1,R2000,290,
46,DE1,R2000,300,
47,DE1,R2000,310,
48,DE1,R2000,320,
49,DE1,R2000,330,-0.1288310753367506
50,DE1,R2000,340,-0.2641006028097812
51,DE1,R2000,350,-0.1674933446580293
52,DE1,R2000,360,-0.10389039265364798
53,DE1,R2000,370,-0.05156070505325894
54,DE1,R2000,380,0.01866972089500145
55,DE1,R2000,390,0.055858681734500114
56,DE2,C0000,260,
57,DE2,C0000,270,
58,DE2,C0000,280,
59,DE2,C0000,290,
60,DE2,C0000,300,
61,DE2,C0000,310,
62,DE2,C0000,320,
63,DE2,C0000,330,-0.31073213005488176
64,DE2,C0000,340,-0.33200324756278365
65,DE2,C0000,350,-0.23844478735624924
66,DE2,C0000,360,-0.23757543967545267
67,DE2,C0000,370,-0.39420840178583466
68,DE2,C0000,380,-0.34922258089670805
69,DE2,C0000,390,-0.18001111898204347
70,DE2,C1100,260,
71,DE2,C1100,270,
72,DE2,C1100,280,
73,DE2,C1100,290,
74,DE2,C1100,300,
75,DE2,C1100,310,
76,DE2,C1100,320,
77,DE2,C1100,330,0.08383636995256577
78,DE2,C1100,340,-0.1844109412317173
79,DE2,C1100,350,-0.32982208565557486
80,DE2,C1100,360,-0.3491169286068001
81,DE2,C1100,370,-0.4129031986649584
82,DE2,C1100,380,-0.6390973046211325
83,DE2,C1100,390,-0.7077059958186993
84,DE2,R1000,260,
85,DE2,R1000,270,
86,DE2,R1000,280,
87,DE2,R1000,290,
88,DE2,R1000,300,
89,DE2,R1000,310,
90,DE2,R1000,320,
91,DE2,R1000,330,-0.45181551482450927
92,DE2,R1000,340,-0.4065512454356457
93,DE2,R1000,350,-0.3475576846067078
94,DE2,R1000,360,-0.32805611994210676
95,DE2,R1000,370,-0.2618230724737809
96,DE2,R1000,380,-0.11000551976078479
97,DE2,R1000,390,-0.030962304525127854
98,DE2,R2000,260,
99,DE2,R2000,270,
100,DE2,R2000,280,
101,DE2,R2000,290,
102,DE2,R2000,300,
103,DE2,R2000,310,
104,DE2,R2000,320,
105,DE2,R2000,330,0.0034696545666362284
106,DE2,R2000,340,-0.056963599156262895
107,DE2,R2000,350,-0.14191929875429876
108,DE2,R2000,360,-0.1601754610862688
109,DE2,R2000,370,-0.13176778150483523
110,DE2,R2000,380,-0.06803489661941738
111,DE2,R2000,390,-0.026472823239667313
112,DE4,C0000,260,
113,DE4,C0000,270,
114,DE4,C0000,280,
115,DE4,C0000,290,-0.37817384890252587
116,DE4,C0000,300,-0.30446940598414884
117,DE4,C0000,310,-0.29959823752535897
118,DE4,C0000,320,-0.2968431008715542
119,DE4,C0000,330,-0.2841973321299325
120,DE4,C0000,340,-0.323073335173849
121,DE4,C0000,350,-0.3610952531001305
122,DE4,C0000,360,-0.3472606299268893
123,DE4,C0000,370,-0.2892448209633313
124,DE4,C0000,380,-0.1264799721844411
125,DE4,C0000,390,-0.06437212181683288
126,DE4,C1100,260,
127,DE4,C1100,270,
128,DE4,C1100,280,
129,DE4,C1100,290,-0.28657185051033024
130,DE4,C1100,300,-0.4432485933337653
131,DE4,C1100,310,-0.3397453699957808
132,DE4,C1100,320,-0.415529555176902
133,DE4,C1100,330,-0.5363752727099551
134,DE4,C1100,340,-0.6067812148067663
135,DE4,C1100,350,-0.6339115147020712
136,DE4,C1100,360,-0.4956397973479524
137,DE4,C1100,370,-0.5520291899574554
138,DE4,C1100,380,-0.6635502576789183
139,DE4,C1100,390,-0.6913254619449314
140,DE4,R1000,260,
141,DE4,R1000,270,
142,DE4,R1000,280,
143,DE4,R1000,290,-0.17633724012761173
144,DE4,R1000,300,-0.03756470475333717
145,DE4,R1000,310,0.004544581752749591
146,DE4,R1000,320,0.04219654681562392
147,DE4,R1000,330,0.018744797928539725
148,DE4,R1000,340,0.02589994045519866
149,DE4,R1000,350,-0.0017218966505617647
150,DE4,R1000,360,-0.015250722234642564
151,DE4,R1000,370,-0.09882072013879016
152,DE4,R1000,380,-0.1417641594897046
153,DE4,R1000,390,-0.14872623112355593
154,DE4,R2000,260,
155,DE4,R2000,270,
156,DE4,R2000,280,
157,DE4,R2000,290,0.05947808433893853
158,DE4,R2000,300,0.08759155521148551
159,DE4,R2000,310,0.08373403200529386
160,DE4,R2000,320,-0.02632091027239588
161,DE4,R2000,330,0.020247812570383807
162,DE4,R2000,340,0.013383192811905118
163,DE4,R2000,350,-0.17447215928581028
164,DE4,R2000,360,-0.2489098611037473
165,DE4,R2000,370,-0.24514902148390202
166,DE4,R2000,380,-0.10174912574102382
167,DE4,R2000,390,-0.044791880918303134
168,DE7,C0000,260,
169,DE7,C0000,270,
170,DE7,C0000,280,
171,DE7,C0000,290,
172,DE7,C0000,300,
173,DE7,C0000,310,
174,DE7,C0000,320,-0.19597358781830407
175,DE7,C0000,330,-0.16871960803675004
176,DE7,C0000,340,-0.20038637675628704
177,DE7,C0000,350,-0.2139686979265219
178,DE7,C0000,360,-0.2440392031581153
179,DE7,C0000,370,-0.3440036778910001
180,DE7,C0000,380,-0.25014714033465957
181,DE7,C0000,390,-0.1247723784252595
182,DE7,C1100,260,
183,DE7,C1100,270,
184,DE7,C1100,280,
185,DE7,C1100,290,
186,DE7,C1100,300,
187,DE7,C1100,310,
188,DE7,C1100,320,-0.3403595488465572
189,DE7,C1100,330,-0.31872503138720987
190,DE7,C1100,340,-0.3873877421992705
191,DE7,C1100,350,-0.5026866467349801
192,DE7,C1100,360,-0.4488012766724534
193,DE7,C1100,370,-0.4713623303734008
194,DE7,C1100,380,-0.6052834256861477
195,DE7,C1100,390,-0.6886952231191141
196,DE7,R1000,260,
197,DE7,R1000,270,
198,DE7,R1000,280,
199,DE7,R1000,290,
200,DE7,R1000,300,
201,DE7,R1000,310,
202,DE7,R1000,320,-0.3110689591433928
203,DE7,R1000,330,-0.34047310671853526
204,DE7,R1000,340,-0.3517381703204264
205,DE7,R1000,350,-0.2949404338283279
206,DE7,R1000,360,-0.13831327705806576
207,DE7,R1000,370,-0.13462595837830518
208,DE7,R1000,380,-0.09933717749591568
209,DE7,R1000,390,-0.08939938610085002
210,DE7,R2000,260,
211,DE7,R2000,270,
212,DE7,R2000,280,
213,DE7,R2000,290,
214,DE7,R2000,300,
215,DE7,R2000,310,
216,DE7,R2000,320,0.5270850505243576
217,DE7,R2000,330,0.33986023073494936
218,DE7,R2000,340,0.10707114140396312
219,DE7,R2000,350,0.18414894014229008
220,DE7,R2000,360,0.20470948845911616
221,DE7,R2000,370,0.21840460144386908
222,DE7,R2000,380,0.1481756671491858
223,DE7,R2000,390,0.09787555557545694
224,DE8,C0000,260,
225,DE8,C0000,270,
226,DE8,C0000,280,
227,DE8,C0000,290,
228,DE8,C0000,300,-0.30665237436833925
229,DE8,C0000,310,-0.39329192452293776
230,DE8,C0000,320,-0.28837741965260616
231,DE8,C0000,330,-0.3421270004119771
232,DE8,C0000,340,-0.3286751148154337
233,DE8,C0000,350,-0.2784920097480385
234,DE8,C0000,360,-0.2542874792428995
235,DE8,C0000,370,-0.23302896539781964
236,DE8,C0000,380,-0.14344808561383268
237,DE8,C0000,390,-0.09684694529497553
238,DE8,C1100,260,
239,DE8,C1100,270,
240,DE8,C1100,280,
241,DE8,C1100,290,
242,DE8,C1100,300,-0.3039305525078879
243,DE8,C1100,310,-0.2802125717825789
244,DE8,C1100,320,-0.5017167873097165
