NUTS_ID,geometry,crops,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DE1,"POLYGON ((4295703.5768 2964380.6987999994, 4316898.3145 2934408.6850000005, 4327060.3654 2936754.229800001, 4329577.591700001 2928930.2481999993, 4329131.1821 2919115.5341999996, 4339770.546700001 2882960.035700001, 4351011.508300001 2873887.5337000005, 4352170.807 2847997.2820999995, 4356881.909700001 2842708.7718, 4341564.5315000005 2822557.7907999996, 4338058.1513 2821924.2716000006, 4330907.914799999 2815721.9868, 4323419.196599999 2815971.9656000007, 4320822.4813 2804069.5506999996, 4328096.9592 2783389.916200001, 4331166.8938 2777220.4014, 4329587.0890999995 2762525.6604999993, 4328784.542300001 2762313.4350000005, 4329233.4891 2758179.1466000006, 4330885.178099999 2745173.2894, 4326811.799799999 2725076.1328999996, 4297839.2886 2721915.5976, 4287756.7698 2714352.1854, 4283009.073799999 2715444.941299999, 4259528.3868 2727259.0359000005, 4221123.476 2731035.9192999993, 4220591.664899999 2731159.9717999995, 4217105.1602 2744025.8792000003, 4209278.492900001 2741411.866699999, 4209312.1808 2724853.3637000006, 4202525.681600001 2718363.0526, 4162515.182499999 2721450.2731999997, 4148792.7694000006 2716636.1911999993, 4142867.4965000004 2719235.8000000007, 4139577.4244 2722539.9049999993, 4136889.5688000005 2739716.5875000004, 4140149.0461 2758618.4416000005, 4140555.6732 2780969.7829, 4140622.8365 2781605.5660999995, 4148737.4970999993 2796455.1335000005, 4170832.9875000007 2847105.0318, 4191568.4299 2874149.0747999996, 4193703.1273 2875693.6634, 4194902.055500001 2876668.8454, 4199706.8018 2886591.1183, 4205446.5603 2905334.1197999995, 4209447.0976 2908937.1611, 4210938.595899999 2909690.4781, 4209211.3783 2912146.7809999995, 4211940.493899999 2923163.1141999997, 4210213.2182 2926776.3453, 4206858.979800001 2937781.563100001, 4206908.4438000005 2941381.1796000004, 4206911.1763 2942403.6646, 4218269.2193 2935097.5820000004, 4243570.766799999 2929204.115700001, 4254631.4986000005 2935221.401900001, 4256117.792099999 2940915.8095999993, 4278464.989399999 2950259.6339999996, 4282930.608899999 2963150.3518000003, 4295703.5768 2964380.6987999994))",C0000,4252.6,4209.099999999999,4212.8,3709.1,4547.4,4058.5,3609.3,4120.2,4570.5,4538.2,4664.86,4763.4,4750.8,4860.200000000001,5219.6,4595.6,4263.6,4633.4,4382.1,4549.2,4383.400000000001,4199.2,4320.8,14.0,0.0
DE1,"POLYGON ((4295703.5768 2964380.6987999994, 4316898.3145 2934408.6850000005, 4327060.3654 2936754.229800001, 4329577.591700001 2928930.2481999993, 4329131.1821 2919115.5341999996, 4339770.546700001 2882960.035700001, 4351011.508300001 2873887.5337000005, 4352170.807 2847997.2820999995, 4356881.909700001 2842708.7718, 4341564.5315000005 2822557.7907999996, 4338058.1513 2821924.2716000006, 4330907.914799999 2815721.9868, 4323419.196599999 2815971.9656000007, 4320822.4813 2804069.5506999996, 4328096.9592 2783389.916200001, 4331166.8938 2777220.4014, 4329587.0890999995 2762525.6604999993, 4328784.542300001 2762313.4350000005, 4329233.4891 2758179.1466000006, 4330885.178099999 2745173.2894, 4326811.799799999 2725076.1328999996, 4297839.2886 2721915.5976, 4287756.7698 2714352.1854, 4283009.073799999 2715444.941299999, 4259528.3868 2727259.0359000005, 4221123.476 2731035.9192999993, 4220591.664899999 2731159.9717999995, 4217105.1602 2744025.8792000003, 4209278.492900001 2741411.866699999, 4209312.1808 2724853.3637000006, 4202525.681600001 2718363.0526, 4162515.182499999 2721450.2731999997, 4148792.7694000006 2716636.1911999993, 4142867.4965000004 2719235.8000000007, 4139577.4244 2722539.9049999993, 4136889.5688000005 2739716.5875000004, 4140149.0461 2758618.4416000005, 4140555.6732 2780969.7829, 4140622.8365 2781605.5660999995, 4148737.4970999993 2796455.1335000005, 4170832.9875000007 2847105.0318, 4191568.4299 2874149.0747999996, 4193703.1273 2875693.6634, 4194902.055500001 2876668.8454, 4199706.8018 2886591.1183, 4205446.5603 2905334.1197999995, 4209447.0976 2908937.1611, 4210938.595899999 2909690.4781, 4209211.3783 2912146.7809999995, 4211940.493899999 2923163.1141999997, 4210213.2182 2926776.3453, 4206858.979800001 2937781.563100001, 4206908.4438000005 2941381.1796000004, 4206911.1763 2942403.6646, 4218269.2193 2935097.5820000004, 4243570.766799999 2929204.115700001, 4254631.4986000005 2935221.401900001, 4256117.792099999 2940915.8095999993, 4278464.989399999 2950259.6339999996, 4282930.608899999 2963150.3518000003, 4295703.5768 2964380.6987999994))",C1100,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0
DE1,"POLYGON ((4295703.5768 2964380.6987999994, 4316898.3145 2934408.6850000005, 4327060.3654 2936754.229800001, 4329577.591700001 2928930.2481999993, 4329131.1821 2919115.5341999996, 4339770.546700001 2882960.035700001, 4351011.508300001 2873887.5337000005, 4352170.807 2847997.2820999995, 4356881.909700001 2842708.7718, 4341564.5315000005 2822557.7907999996, 4338058.1513 2821924.2716000006, 4330907.914799999 2815721.9868, 4323419.196599999 2815971.9656000007, 4320822.4813 2804069.5506999996, 4328096.9592 2783389.916200001, 4331166.8938 2777220.4014, 4329587.0890999995 2762525.6604999993, 4328784.542300001 2762313.4350000005, 4329233.4891 2758179.1466000006, 4330885.178099999 2745173.2894, 4326811.799799999 2725076.1328999996, 4297839.2886 2721915.5976, 4287756.7698 2714352.1854, 4283009.073799999 2715444.941299999, 4259528.3868 2727259.0359000005, 4221123.476 2731035.9192999993, 4220591.664899999 2731159.9717999995, 4217105.1602 2744025.8792000003, 4209278.492900001 2741411.866699999, 4209312.1808 2724853.3637000006, 4202525.681600001 2718363.0526, 4162515.182499999 2721450.2731999997, 4148792.7694000006 2716636.1911999993, 4142867.4965000004 2719235.8000000007, 4139577.4244 2722539.9049999993, 4136889.5688000005 2739716.5875000004, 4140149.0461 2758618.4416000005, 4140555.6732 2780969.7829, 4140622.8365 2781605.5660999995, 4148737.4970999993 2796455.1335000005, 4170832.9875000007 2847105.0318, 4191568.4299 2874149.0747999996, 4193703.1273 2875693.6634, 4194902.055500001 2876668.8454, 4199706.8018 2886591.1183, 4205446.5603 2905334.1197999995, 4209447.0976 2908937.1611, 4210938.595899999 2909690.4781, 4209211.3783 2912146.7809999995, 4211940.493899999 2923163.1141999997, 4210213.2182 2926776.3453, 4206858.979800001 2937781.563100001, 4206908.4438000005 2941381.1796000004, 4206911.1763 2942403.6646, 4218269.2193 2935097.5820000004, 4243570.766799999 2929204.115700001, 4254631.4986000005 2935221.401900001, 4256117.792099999 2940915.8095999993, 4278464.989399999 2950259.6339999996, 4282930.608899999 2963150.3518000003, 4295703.5768 2964380.6987999994))",R1000,317.1,247.10000000000002,277.29999999999995,190.3,232.3,227.5,209.4,214.0,203.0,224.5,196.56,258.9,240.8,204.5,279.59999999999997,183.20000000000002,208.20000000000002,231.8,185.79999999999998,237.20000000000002,198.3,195.60000000000002,190.5,0.0,0.0
DE1,"POLYGON ((4295703.5768 2964380.6987999994, 4316898.3145 2934408.6850000005, 4327060.3654 2936754.229800001, 4329577.591700001 2928930.2481999993, 4329131.1821 2919115.5341999996, 4339770.546700001 2882960.035700001, 4351011.508300001 2873887.5337000005, 4352170.807 2847997.2820999995, 4356881.909700001 2842708.7718, 4341564.5315000005 2822557.7907999996, 4338058.1513 2821924.2716000006, 4330907.914799999 2815721.9868, 4323419.196599999 2815971.9656000007, 4320822.4813 2804069.5506999996, 4328096.9592 2783389.916200001, 4331166.8938 2777220.4014, 4329587.0890999995 2762525.6604999993, 4328784.542300001 2762313.4350000005, 4329233.4891 2758179.1466000006, 4330885.178099999 2745173.2894, 4326811.799799999 2725076.1328999996, 4297839.2886 2721915.5976, 4287756.7698 2714352.1854, 4283009.073799999 2715444.941299999, 4259528.3868 2727259.0359000005, 4221123.476 2731035.9192999993, 4220591.664899999 2731159.9717999995, 4217105.1602 2744025.8792000003, 4209278.492900001 2741411.866699999, 4209312.1808 2724853.3637000006, 4202525.681600001 2718363.0526, 4162515.182499999 2721450.2731999997, 4148792.7694000006 2716636.1911999993, 4142867.4965000004 2719235.8000000007, 4139577.4244 2722539.9049999993, 4136889.5688000005 2739716.5875000004, 4140149.0461 2758618.4416000005, 4140555.6732 2780969.7829, 4140622.8365 2781605.5660999995, 4148737.4970999993 2796455.1335000005, 4170832.9875000007 2847105.0318, 4191568.4299 2874149.0747999996, 4193703.1273 2875693.6634, 4194902.055500001 2876668.8454, 4199706.8018 2886591.1183, 4205446.5603 2905334.1197999995, 4209447.0976 2908937.1611, 4210938.595899999 2909690.4781, 4209211.3783 2912146.7809999995, 4211940.493899999 2923163.1141999997, 4210213.2182 2926776.3453, 4206858.979800001 2937781.563100001, 4206908.4438000005 2941381.1796000004, 4206911.1763 2942403.6646, 4218269.2193 2935097.5820000004, 4243570.766799999 2929204.115700001, 4254631.4986000005 2935221.401900001, 4256117.792099999 2940915.8095999993, 4278464.989399999 2950259.6339999996, 4282930.608899999 2963150.3518000003, 4295703.5768 2964380.6987999994))",R2000,1448.6,1246.8000000000002,1506.7,1009.3000000000001,1372.2,1340.2,1179.4,1206.0,1173.3,1321.6000000000001,1110.8999999999999,1465.3,1349.5,1168.0,1418.8,983.1,1238.7,1855.2,1346.3,1632.1000000000001,1331.9,1680.6,1353.7,0.0,0.0
DE2,"POLYGON ((4353033.0975 3032305.0207, 4364538.604800001 3013049.3050999995, 4373034.312899999 3013350.507200001, 4388261.3780000005 3030928.3318000007, 4405835.591399999 3018360.4021000005, 4410856.785800001 3041609.9941000007, 4426266.5825 3036581.0529999994, 4434992.7326 3033109.2880000006, 4457382.0583999995 3036536.161800001, 4470617.443499999 3025026.0146999992, 4475191.6471 3014233.6904000007, 4482881.8697 2996472.522500001, 4504235.755100001 2980138.6501, 4494030.7502999995 2963467.4614000004, 4508712.424799999 2939910.5363999996, 4511863.501 2932678.570699999, 4552189.4165 2900592.4167, 4571071.8972 2879894.6663000006, 4581003.231000001 2879001.467, 4603174.0754 2858273.119000001, 4600312.774800001 2851666.636, 4596341.521500001 2829133.7541000005, 4579900.4079 2836889.7173999995, 4579671.3643 2836835.5207, 4579445.3671 2836171.4388999995, 4579714.7586 2835384.8275000006, 4579577.8562 2834988.9930000007, 4578831.8160999995 2834529.6916000005, 4578694.752699999 2834033.946799999, 4578256.6741 2833743.7687999997, 4577590.199999999 2833819.306399999, 4577520.554300001 2832996.6304, 4576657.3144000005 2832784.0842000004, 4576129.709899999 2833244.352, 4556759.177300001 2802949.1988999993, 4539906.565199999 2792493.4747, 4525936.166999999 2781511.587099999, 4534508.8895 2768916.1735999994, 4535816.2831 2765181.807, 4542424.854499999 2755742.9772999994, 4550492.988700001 2716598.8374000005, 4523482.837200001 2733534.5822, 4514603.5298 2727668.8101000004, 4496572.345000001 2734271.410700001, 4475984.664100001 2724949.8110000007, 4460729.270300001 2722685.2793000005, 4443880.2947 2721225.526799999, 4427326.055500001 2710091.6841, 4428275.4441 2704501.090399999, 4397789.8456999995 2698611.856899999, 4395879.224099999 2698559.6253999993, 4387765.814200001 2714092.2085999995, 4355225.3652 2715902.9925999995, 4352656.717800001 2697259.9672999997, 4334506.5766 2684074.9562, 4320964.2509 2707711.6807000004, 4318575.4584 2714736.6659999993, 4287756.7698 2714352.1854, 4297839.2886 2721915.5976, 4326811.799799999 2725076.1328999996, 4330885.178099999 2745173.2894, 4329233.4891 2758179.1466000006, 4328784.542300001 2762313.4350000005, 4329587.0890999995 2762525.6604999993, 4331166.8938 2777220.4014, 4328096.9592 2783389.916200001, 4320822.4813 2804069.5506999996, 4323419.196599999 2815971.9656000007, 4330907.914799999 2815721.9868, 4338058.1513 2821924.2716000006, 4341564.5315000005 2822557.7907999996, 4356881.909700001 2842708.7718, 4352170.807 2847997.2820999995, 4351011.508300001 2873887.5337000005, 4339770.546700001 2882960.035700001, 4329131.1821 2919115.5341999996, 4329577.591700001 2928930.2481999993, 4327060.3654 2936754.229800001, 4316898.3145 2934408.6850000005, 4295703.5768 2964380.6987999994, 4282930.608899999 2963150.3518000003, 4278464.989399999 2950259.6339999996, 4256117.792099999 2940915.8095999993, 4251664.162699999 2970894.7630000003, 4252699.2227 2973084.6976999994, 4250439.3345 2987020.4233999997, 4248723.2381 2995472.5079999994, 4268152.2195 3003454.7145000007, 4278413.751499999 2997440.8773, 4294107.9322 3013053.5261000004, 4301991.620999999 3027156.9367999993, 4316426.716 3034182.5712, 4323932.0865 3044955.5941000003, 4353033.0975 3032305.0207))",C0000,8897.7,8988.8,8617.7,7697.599999999999,10379.199999999999,8639.0,8423.699999999999,8886.1,9628.4,9466.5,9622.83,10162.7,10265.8,10548.8,11579.0,10804.9,10376.1,10519.0,9552.4,10039.7,10095.0,9458.0,9468.6,14.0,0.0
DE2,"POLYGON ((4353033.0975 3032305.0207, 4364538.604800001 3013049.3050999995, 4373034.312899999 3013350.507200001, 4388261.3780000005 3030928.3318000007, 4405835.591399999 3018360.4021000005, 4410856.785800001 3041609.9941000007, 4426266.5825 3036581.0529999994, 4434992.7326 3033109.2880000006, 4457382.0583999995 3036536.161800001, 4470617.443499999 3025026.0146999992, 4475191.6471 3014233.6904000007, 4482881.8697 2996472.522500001, 4504235.755100001 2980138.6501, 4494030.7502999995 2963467.4614000004, 4508712.424799999 2939910.5363999996, 4511863.501 2932678.570699999, 4552189.4165 2900592.4167, 4571071.8972 2879894.6663000006, 4581003.231000001 2879001.467, 4603174.0754 2858273.119000001, 4600312.774800001 2851666.636, 4596341.521500001 2829133.7541000005, 4579900.4079 2836889.7173999995, 4579671.3643 2836835.5207, 4579445.3671 2836171.4388999995, 4579714.7586 2835384.8275000006, 4579577.8562 2834988.9930000007, 4578831.8160999995 2834529.6916000005, 4578694.752699999 2834033.946799999, 4578256.6741 2833743.7687999997, 4577590.199999999 2833819.306399999, 4577520.554300001 2832996.6304, 4576657.3144000005 2832784.0842000004, 4576129.709899999 2833244.352, 4556759.177300001 2802949.1988999993, 4539906.565199999 2792493.4747, 4525936.166999999 2781511.587099999, 4534508.8895 2768916.1735999994, 4535816.2831 2765181.807, 4542424.854499999 2755742.9772999994, 4550492.988700001 2716598.8374000005, 4523482.837200001 2733534.5822, 4514603.5298 2727668.8101000004, 4496572.345000001 2734271.410700001, 4475984.664100001 2724949.8110000007, 4460729.270300001 2722685.2793000005, 4443880.2947 2721225.526799999, 4427326.055500001 2710091.6841, 4428275.4441 2704501.090399999, 4397789.8456999995 2698611.856899999, 4395879.224099999 2698559.6253999993, 4387765.814200001 2714092.2085999995, 4355225.3652 2715902.9925999995, 4352656.717800001 2697259.9672999997, 4334506.5766 2684074.9562, 4320964.2509 2707711.6807000004, 4318575.4584 2714736.6659999993, 4287756.7698 2714352.1854, 4297839.2886 2721915.5976, 4326811.799799999 2725076.1328999996, 4330885.178099999 2745173.2894, 4329233.4891 2758179.1466000006, 4328784.542300001 2762313.4350000005, 4329587.0890999995 2762525.6604999993, 4331166.8938 2777220.4014, 4328096.9592 2783389.916200001, 4320822.4813 2804069.5506999996, 4323419.196599999 2815971.9656000007, 4330907.914799999 2815721.9868, 4338058.1513 2821924.2716000006, 4341564.5315000005 2822557.7907999996, 4356881.909700001 2842708.7718, 4352170.807 2847997.2820999995, 4351011.508300001 2873887.5337000005, 4339770.546700001 2882960.035700001, 4329131.1821 2919115.5341999996, 4329577.591700001 2928930.2481999993, 4327060.3654 2936754.229800001, 4316898.3145 2934408.6850000005, 4295703.5768 2964380.6987999994, 4282930.608899999 2963150.3518000003, 4278464.989399999 2950259.6339999996, 4256117.792099999 2940915.8095999993, 4251664.162699999 2970894.7630000003, 4252699.2227 2973084.6976999994, 4250439.3345 2987020.4233999997, 4248723.2381 2995472.5079999994, 4268152.2195 3003454.7145000007, 4278413.751499999 2997440.8773, 4294107.9322 3013053.5261000004, 4301991.620999999 3027156.9367999993, 4316426.716 3034182.5712, 4323932.0865 3044955.5941000003, 4353033.0975 3032305.0207))",C1100,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0
DE2,"POLYGON ((4353033.0975 3032305.0207, 4364538.604800001 3013049.3050999995, 4373034.312899999 3013350.507200001, 4388261.3780000005 3030928.3318000007, 4405835.591399999 3018360.4021000005, 4410856.785800001 3041609.9941000007, 4426266.5825 3036581.0529999994, 4434992.7326 3033109.2880000006, 4457382.0583999995 3036536.161800001, 4470617.443499999 3025026.0146999992, 4475191.6471 3014233.6904000007, 4482881.8697 2996472.522500001, 4504235.755100001 2980138.6501, 4494030.7502999995 2963467.4614000004, 4508712.424799999 2939910.5363999996, 4511863.501 2932678.570699999, 4552189.4165 2900592.4167, 4571071.8972 2879894.6663000006, 4581003.231000001 2879001.467, 4603174.0754 2858273.119000001, 4600312.774800001 2851666.636, 4596341.521500001 2829133.7541000005, 4579900.4079 2836889.7173999995, 4579671.3643 2836835.5207, 4579445.3671 2836171.4388999995, 4579714.7586 2835384.8275000006, 4579577.8562 2834988.9930000007, 4578831.8160999995 2834529.6916000005, 4578694.752699999 2834033.946799999, 4578256.6741 2833743.7687999997, 4577590.199999999 2833819.306399999, 4577520.554300001 2832996.6304, 4576657.3144000005 2832784.0842000004, 4576129.709899999 2833244.352, 4556759.177300001 2802949.1988999993, 4539906.565199999 2792493.4747, 4525936.166999999 2781511.587099999, 4534508.8895 2768916.1735999994, 4535816.2831 2765181.807, 4542424.854499999 2755742.9772999994, 4550492.988700001 2716598.8374000005, 4523482.837200001 2733534.5822, 4514603.5298 2727668.8101000004, 4496572.345000001 2734271.410700001, 4475984.664100001 2724949.8110000007, 4460729.270300001 2722685.2793000005, 4443880.2947 2721225.526799999, 4427326.055500001 2710091.6841, 4428275.4441 2704501.090399999, 4397789.8456999995 2698611.856899999, 4395879.224099999 2698559.6253999993, 4387765.814200001 2714092.2085999995, 4355225.3652 2715902.9925999995, 4352656.717800001 2697259.9672999997, 4334506.5766 2684074.9562, 4320964.2509 2707711.6807000004, 4318575.4584 2714736.6659999993, 4287756.7698 2714352.1854, 4297839.2886 2721915.5976, 4326811.799799999 2725076.1328999996, 4330885.178099999 2745173.2894, 4329233.4891 2758179.1466000006, 4328784.542300001 2762313.4350000005, 4329587.0890999995 2762525.6604999993, 4331166.8938 2777220.4014, 4328096.9592 2783389.916200001, 4320822.4813 2804069.5506999996, 4323419.196599999 2815971.9656000007, 4330907.914799999 2815721.9868, 4338058.1513 2821924.2716000006, 4341564.5315000005 2822557.7907999996, 4356881.909700001 2842708.7718, 4352170.807 2847997.2820999995, 4351011.508300001 2873887.5337000005, 4339770.546700001 2882960.035700001, 4329131.1821 2919115.5341999996, 4329577.591700001 2928930.2481999993, 4327060.3654 2936754.229800001, 4316898.3145 2934408.6850000005, 4295703.5768 2964380.6987999994, 4282930.608899999 2963150.3518000003, 4278464.989399999 2950259.6339999996, 4256117.792099999 2940915.8095999993, 4251664.162699999 2970894.7630000003, 4252699.2227 2973084.6976999994, 4250439.3345 2987020.4233999997, 4248723.2381 2995472.5079999994, 4268152.2195 3003454.7145000007, 4278413.751499999 2997440.8773, 4294107.9322 3013053.5261000004, 4301991.620999999 3027156.9367999993, 4316426.716 3034182.5712, 4323932.0865 3044955.5941000003, 4353033.0975 3032305.0207))",R1000,2472.6,1861.1,2146.2,1628.0,2089.2000000000003,1918.1000000000001,1944.1000000000001,2140.5,1979.8,1978.1999999999998,1734.79,2171.5,1948.5,1497.2,1952.1,1495.2,1912.9,1939.7,1562.4,1755.5,1996.6000000000001,1746.5,1431.8,0.0,0.0
DE2,"POLYGON ((4353033.0975 3032305.0207, 4364538.604800001 3013049.3050999995, 4373034.312899999 3013350.507200001, 4388261.3780000005 3030928.3318000007, 4405835.591399999 3018360.4021000005, 4410856.785800001 3041609.9941000007, 4426266.5825 3036581.0529999994, 4434992.7326 3033109.2880000006, 4457382.0583999995 3036536.161800001, 4470617.443499999 3025026.0146999992, 4475191.6471 3014233.6904000007, 4482881.8697 2996472.522500001, 4504235.755100001 2980138.6501, 4494030.7502999995 2963467.4614000004, 4508712.424799999 2939910.5363999996, 4511863.501 2932678.570699999, 4552189.4165 2900592.4167, 4571071.8972 2879894.6663000006, 4581003.231000001 2879001.467, 4603174.0754 2858273.119000001, 4600312.774800001 2851666.636, 4596341.521500001 2829133.7541000005, 4579900.4079 2836889.7173999995, 4579671.3643 2836835.5207, 4579445.3671 2836171.4388999995, 4579714.7586 2835384.8275000006, 4579577.8562 2834988.9930000007, 4578831.8160999995 2834529.6916000005, 4578694.752699999 2834033.946799999, 4578256.6741 2833743.7687999997, 4577590.199999999 2833819.306399999, 4577520.554300001 2832996.6304, 4576657.3144000005 2832784.0842000004, 4576129.709899999 2833244.352, 4556759.177300001 2802949.1988999993, 4539906.565199999 2792493.4747, 4525936.166999999 2781511.587099999, 4534508.8895 2768916.1735999994, 4535816.2831 2765181.807, 4542424.854499999 2755742.9772999994, 4550492.988700001 2716598.8374000005, 4523482.837200001 2733534.5822, 4514603.5298 2727668.8101000004, 4496572.345000001 2734271.410700001, 4475984.664100001 2724949.8110000007, 4460729.270300001 2722685.2793000005, 4443880.2947 2721225.526799999, 4427326.055500001 2710091.6841, 4428275.4441 2704501.090399999, 4397789.8456999995 2698611.856899999, 4395879.224099999 2698559.6253999993, 4387765.814200001 2714092.2085999995, 4355225.3652 2715902.9925999995, 4352656.717800001 2697259.9672999997, 4334506.5766 2684074.9562, 4320964.2509 2707711.6807000004, 4318575.4584 2714736.6659999993, 4287756.7698 2714352.1854, 4297839.2886 2721915.5976, 4326811.799799999 2725076.1328999996, 4330885.178099999 2745173.2894, 4329233.4891 2758179.1466000006, 4328784.542300001 2762313.4350000005, 4329587.0890999995 2762525.6604999993, 4331166.8938 2777220.4014, 4328096.9592 2783389.916200001, 4320822.4813 2804069.5506999996, 4323419.196599999 2815971.9656000007, 4330907.914799999 2815721.9868, 4338058.1513 2821924.2716000006, 4341564.5315000005 2822557.7907999996, 4356881.909700001 2842708.7718, 4352170.807 2847997.2820999995, 4351011.508300001 2873887.5337000005, 4339770.546700001 2882960.035700001, 4329131.1821 2919115.5341999996, 4329577.591700001 2928930.2481999993, 4327060.3654 2936754.229800001, 4316898.3145 2934408.6850000005, 4295703.5768 2964380.6987999994, 4282930.608899999 2963150.3518000003, 4278464.989399999 2950259.6339999996, 4256117.792099999 2940915.8095999993, 4251664.162699999 2970894.7630000003, 4252699.2227 2973084.6976999994, 4250439.3345 2987020.4233999997, 4248723.2381 2995472.5079999994, 4268152.2195 3003454.7145000007, 4278413.751499999 2997440.8773, 4294107.9322 3013053.5261000004, 4301991.620999999 3027156.9367999993, 4316426.716 3034182.5712, 4323932.0865 3044955.5941000003, 4353033.0975 3032305.0207))",R2000,5255.200000000001,4532.5,5346.900000000001,4052.5,5185.7,4757.8,4059.8,4922.6,4391.2,5211.5,4371.82,5695.200000000001,5325.5,4032.0,5524.1,3465.7000000000003,4885.3,6709.9,5285.4,5724.8,5435.1,5772.2,4946.400000000001,0.0,0.0
DE3,"POLYGON ((4565854.8829 3276635.620100001, 4570053.7798999995 3269037.6789999995, 4572823.348999999 3258448.2174999993, 4553875.3859 3257338.2413, 4546340.8794 3259545.0768999998, 4536436.5251 3258557.022, 4535085.864700001 3270478.4750999995, 4535330.4365 3281303.397399999, 4550928.4684 3287499.4212999996, 4565854.8829 3276635.620100001))",C0000,14.7,14.7,14.7,14.7,14.7,14.8,14.8,14.7,14.7,14.7,14.8,15.600000000000001,15.600000000000001,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.0,0.0
DE3,"POLYGON ((4565854.8829 3276635.620100001, 4570053.7798999995 3269037.6789999995, 4572823.348999999 3258448.2174999993, 4553875.3859 3257338.2413, 4546340.8794 3259545.0768999998, 4536436.5251 3258557.022, 4535085.864700001 3270478.4750999995, 4535330.4365 3281303.397399999, 4550928.4684 3287499.4212999996, 4565854.8829 3276635.620100001))",C1100,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0
